[10:01]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Aug/0011.html
[10:53]	<manu1>	Markus: I think the question is if we want to decouple JSON-LD from XSD. For example, schema.org uses their own datatypes.
[10:54]	<manu1>	manu: Two arguments here - complexity vs. flexibility
[10:54]	<manu1>	gregg: Going from RDF to JSON-LD, that's a different issue - we don't make use of native datatypes when transforming from RDF to JSON-LD.
[10:56]	<manu1>	manu: My concern is that JavaScript developers expect stuff to be converted to native types.
[10:57]	<manu1>	niklas: I see cases for both sides of this argument. I mainly agree with Gregg - there is a standard way to say what types are in RDF.
[10:58]	<manu1>	gkellogg: I might provide some interfaces to provide greater fidelity. I'd put a flag in there that says "use native datatype representations".
[10:59]	<manu1>	gkellogg: We could say that "implementations may provide a mechanism that allows these representations to be overridden."
[11:00]	<niklasl>	q+
[11:00]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[11:01]	<manu1>	ack niklasl
[11:01]	<voip-ld>	niklasl has the floor. The speaker queue is empty.
[11:01]	<manu1>	manu: Okay - so we could just keep 'useNativeDatatypes', specify how to do the conversion, and add this feature in later.
[11:02]	<mlnt>	http://json-ld.org/spec/latest/json-ld-api/#jsonldoptions
[11:03]	<manu1>	PROPOSAL: Continue to support 'useNativeDatatypes' in .fromRDF(), specifying how the native type conversion happens. Do not support options for overriding each native datatype with a different value.
[11:03]	<gkellogg>	+1
[11:04]	<manu1>	+1
[11:04]	<niklasl>	+1
[11:04]	<mlnt>	+1
[11:04]	<manu1>	RESOLVED: Continue to support 'useNativeDatatypes' in .fromRDF(), specifying how the native type conversion happens. Do not support options for overriding each native datatype with a different value.
[11:04]	<manu1>	NOTE: If this feature needs to be added in the future, it can be done without creating any backwards-compatability issues.
[11:05]	<manu1>	Topic: ISSUE-151: Context Processing Algorithm Dependency Resolution
[11:05]	<manu1>	https://github.com/json-ld/json-ld.org/issues/151
[11:05]	<manu1>	manu: The main issue is this, if you define something like so in the @context: "schema": "http://schema.org/"
[11:05]	<manu1>	manu: and then later you do this: "name": "schema:name"
[11:09]	<manu1>	manu: Dave Longley is concerned that there are some corner cases that could lead to implementations doing two different things.
[11:10]	<manu1>	gkellogg: I'm concerned that we don't need to spec everything down to this level of details. Oddly construed examples could be placed into the test suite - that could catch these implementation issues.
[11:10]	<manu1>	gkellogg: This sounds like an error condition that we want to signal, not that everyone can resolve this stuff in the same way.
[11:11]	<manu1>	Markus: It's difficult to understand what the algorithms are supposed to do w/o implementing them... if you do implement them, every implementation is doing exactly the same thing.
[11:11]	<manu1>	gkellogg: The risk is that we don't get good analysis from people that don't implement it.
[11:12]	<manu1>	niklas: I'm leaning towards gregg's notion - a bit more lenience in how to implement an algorithm and ensure that test cases cover all the corner cases that might crop up is the best approach. We may want a comment in the spec about edge cases - state the intent in the algorithm.
[11:12]	<manu1>	gkellogg: We could put more detail in an algorithm in the appendix would be better. We don't want to subject readers to all the corner cases that we're trying to document.
[11:13]	<dlongley>	i think that if you follow the algorithm in the spec you should pass the test suite
[11:13]	<mlnt>	I agree
[11:13]	<niklasl>	me too...
[11:14]	<voip-ld>	Dave Longley (SIP/6002-00000045) has joined the conference.
[11:14]	<manu1>	niklas: I'd probably be a +0 on this, leaving too much to interpretation is dangerous.
[11:16]	<dlongley>	one sec
[11:16]	<dlongley>	was talking ... not working.
[11:16]	* manu1	still can't hear you.
[11:17]	<voip-ld>	Dave Longley (SIP/6002-00000045) has left the conference.
[11:18]	<dlongley>	software issues over here.
[11:18]	<manu1>	gkellogg: I'd like to see some spec text, if it's simple then fine... if it's complex, then not okay.
[11:18]	<dlongley>	i was going to say that other specifications , in my experience, generally spell out how to write a fully conformant processor
[11:18]	<manu1>	manu: We'll ask Dave Longley to send some spec text to RDF comments.
[11:19]	<dlongley>	and that, at least when i'm reading a spec to try and implement it, i'd prefer it to be that way
[11:19]	<dlongley>	i think one should be able to just read the spec, following the language --- and write code as you go, resulting in something that passes the test suite.
[11:19]	<dlongley>	if you want to go off on your own and change the algorithm or try and improve upon it, that's fine (and encouraged, i'd think)
[11:20]	<dlongley>	but, at a minimum, i don't think implementors should have to figure out their own algorithms if they don't want to
[11:20]	<manu1>	ACTION: Dave Longley to send suggested spec text to modify the algorithm to public-rdf-comments@w3.org
[11:20]	<dlongley>	i do think it's somewhat annoying to write the spec language :), however, i don't think that that is a good reason to not do it
[11:20]	* manu1	are you fine with that, dlongley?
[11:20]	<dlongley>	yes
[11:21]	<manu1>	gkellogg: To respond to Dave Longley, there has been some evidence that spec algorithm complexity has prevented folks from getting into the specs a bit further.
[11:21]	<manu1>	gkellogg: I'd like them to be able to participate w/o being buried in details.
[11:21]	<manu1>	gkellogg: I have an action to annotate RDF algorithms to make it more clear about what's going on.
[11:22]	<dlongley>	prevented implementors from getting into the specs or users of the APIs?
[11:22]	<dlongley>	because i think that might be a presentation issue if it's just the users of the APIs
[11:23]	<dlongley>	i can see it being frustrating, when writing an implementation, that you don't pass the test suite ...
[11:23]	<dlongley>	and the spec document doesn't spell out why
[11:23]	<dlongley>	i don't think that's something that an implementor wants to spend their time on
[11:23]	<dlongley>	i guess i'm ok with the spec spelling it out in another section ... but i don't know what that really buys us
[11:24]	<dlongley>	and that it might just make it more complex to implement (having to jump around the spec to find caveats, etc)
[11:24]	<niklasl>	q+
[11:24]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[11:24]	<manu1>	manu: I think there are good arguments from both sides - algorithms too high-level, interoperability problems. algorithms too low-level, hard for people to contribute.
[11:25]	<manu1>	gkellogg: I do agree that test cases shouldn't come out of nothing... there should be spec text backing them up. Having test cases should protect against some of these corner cases. Balancing act.
[11:25]	<manu1>	ack niklasl
[11:25]	<voip-ld>	niklasl has the floor. The speaker queue is empty.
[11:26]	<manu1>	niklas: I wonder if there is room for internal re-factoring? For example, in RDFa algorithm there are references from high-level text (in the algorithm) to low-level text in the spec (elsewhere in the spec).
[11:27]	<dlongley>	if we simply spell out that prefix dependencies have to be resolved and cycles must generate errors -- and then we craft test cases that expose the corner cases, then i can compromise and agree to that.
[11:28]	<manu1>	Manu: Dave, yeah, I think that's where we are right now.
[11:28]	<dlongley>	i worry that we don't currently have those corner cases -- and that it's difficult to generate them, however. (doesn't mean they won't show up in the real world)
[11:29]	<manu1>	gkellogg: I think the term selection algorithm is an example of this right now, it's very complicated. We could simplify it, but the result might not be that desirable when faced with complicated input.
[11:30]	<manu1>	niklas: I think the important part is that when the data is very complex, you want to make each part distinct. created/date and created/datetime are important to differentiate in complex data.
[11:30]	<manu1>	gkellogg: I'm concerned about the geometric complexity that is added when we support all of these corner cases, we may just want to punt on some of this stuff.
[11:31]	<dlongley>	another thing to be concerned with is that if we don't spec some of this stuff out, then the algorithms that are in the spec might be fundamentally incompatible with a working implementation
[11:31]	<dlongley>	as in, if we have a very detailed way of looping over keys in a context during processing ... but in order to properly resolve dependencies we must not loop (not saying this is the case)
[11:32]	<dlongley>	then we've spec'd out something that doesn't actually work when you take into consideration the other parts of the spec that aren't spec'd in detail.
[11:32]	<manu1>	Manu: Okay, that's the call for today, we'll meet again next week.
[11:33]	<voip-ld>	Manu Sporny (SIP/6000-00000040) has left the conference.
[11:33]	<voip-ld>	Gregg Kellogg (SIP/10.0.1.18-00000043) has left the conference.
[11:33]	<voip-ld>	Markus Lanthaler (SIP/sip.linphone.org-00000042) has left the conference.
[11:33]	<voip-ld>	Niklas Lindström (SIP/192.168.3.15-00000041) has left the conference.
