[10:02]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Jul/0022.html
[10:42]	<gkellogg>	… The explicit needs to use [] is a way to signal that it is auxiliary data, and not intended to be primary.
[10:42]	<gkellogg>	… in general, using terms to define the context is the way to go.
[10:42]	<gkellogg>	… I think that CURIEs are a pragmatic tool to make IRIs compact, but that's just for data packing.
[10:43]	<gkellogg>	… That said, it applies regardless of if you use ":" or something else.
[10:43]	<manu1>	q+ to mention jquery as an issue for $
[10:43]	<voip-ld>	Added manu1 to the speaker queue: niklasl, manu1
[10:44]	<manu1>	ack gkellogg
[10:44]	<voip-ld>	niklasl has the floor. The next speaker is manu1.
[10:44]	<gkellogg>	… If the issue crops up at general intervals, I wouldn't mind a mechanism of defining an alias for ":" in the context, but I'd rather not switch to it.
[10:44]	<manu1>	gkellogg: I'm working quite a bit with my own vocab, using schema.org - when I use schema terms, there are quite a number of them. Programmatically, writing code to access elements from objects, I know what I want to access... so I alias "@id" and "@type" in backbone.
[10:45]	<manu1>	gkellogg: There are certain things I expect every object to have, such as a name or description - when accessing range, subtypeof - for those cases, I define terms to make it easy. It's for the cases where my logic is not built to access things that are not known in there, I couldn't use dot-notation. My logic doesn't try to deal with that data.
[10:46]	<manu1>	gkellogg: I don't see a need to be more explicit to allow dot notation for things that are not already built into my code.
[10:46]	<manu1>	ack manu1
[10:46]	<voip-ld>	niklasl has the floor (to mention jquery as an issue for $). The speaker queue is empty.
[10:46]	<gkellogg>	manu: the other issue with "$" is that can be confused with jQuery if you're scanning through the code.
[10:47]	<gkellogg>	markus: I agree with the arguments, but it's more about why people are using @vocab; it's not that it's missing, but because prefixes loose some convenience. On the other hand, people don't want large contexts.
[10:47]	<manu1>	q+
[10:47]	<voip-ld>	Added manu1 to the speaker queue: manu1
[10:47]	<gkellogg>	niklas: I don't see how this makes the need for @vocab to go away. WIth @vocab, you use the terms from the vocabulary "as-is".
[10:48]	<gkellogg>	markus: using as-is, means that you don't need to use brackets.
[10:48]	<gkellogg>	w+
[10:48]	<gkellogg>	q+
[10:48]	<voip-ld>	Added gkellogg to the speaker queue: manu1, gkellogg
[10:48]	<manu1>	ack
[10:48]	<voip-ld>	manu1 has the floor. The next speaker is gkellogg.
[10:49]	<gkellogg>	manu: I think that for some sub-set of users, the use of @vocab is useful. It's mainly useful for vocabularies such as schema.org.
[10:49]	<gkellogg>	… I know some of the people from Google like this because it makes the data look clean.
[10:50]	<gkellogg>	… I don't know if we can make an argument about the primary reason people are using these attributes. For example, If we changed it to "_", our company still wouldn't use it.
[10:50]	<gkellogg>	… We think our developers are going to want to use "." notation. Developers would rather use ".asset" rather than ".ps_asset".
[10:51]	<gkellogg>	… We've really switched our opinions on CURIEs in general. They're great for compacting use of IRIs, but when you actually go to work with the data, terms are much more useful.
[10:51]	<manu1>	ack
[10:51]	<voip-ld>	manu1 has the floor. The speaker queue is empty.
[10:52]	<manu1>	gkellogg: I do have some other uses where I use terms - an annotation property - what term I want to use in the OWL definitions - the reason for that is not because of programmatic access - it's what users expect for common properties. I use OWL with restrictions as a way to show properties that are expected to be expressed in an object. For those types of things, I want to make it friendly...
[10:53]	<manu1>	...to developers that use 'name' or 'date' without having to do things like 'schema_name' or 'schema_date'.
[10:53]	<manu1>	gkellogg: That's really where terms come in handy - with regards to that, I don't find having to use square brackets to be problematic.
[10:54]	<manu1>	PROPOSAL: Do not change the prefix-suffix separator from COLON to anything else.
[10:54]	<gkellogg>	+1
[10:54]	<manu1>	+1
[10:54]	<niklasl>	+1
[10:54]	<mlnt>	+0.5
[10:54]	<taaz>	+1
[10:54]	<manu1>	RESOLVED: Do not change the prefix-suffix separator from COLON ':' to anything else.
[10:54]	<tidoust>	+1
[10:54]	<manu1>	niklasl: Should we introduce an alias for ':' ?
[10:55]	<manu1>	PROPOSAL: Allow the prefix-suffix separator to be aliased (for example, '$' in addition to ':')
[10:55]	<manu1>	-1
[10:55]	<mlnt>	-1
[10:55]	<gkellogg>	-1
[10:55]	<niklasl>	+0.5
[10:55]	<taaz>	+0
[10:55]	<tidoust>	+0
[10:55]	<gkellogg>	Group consensus on not allowing prefix-suffix separator aliasing.
[10:55]	<manu1>	Topic: Super sessions
[10:57]	<gkellogg>	manu: preference for 75 min or 90 min calls.
[10:57]	<gkellogg>	niklas: better than 120!
[10:58]	<gkellogg>	manu: next call will be 90 minutes
[10:58]	<gkellogg>	… we'll continue on 90 minute calls while we get through to LC.
[10:58]	<tidoust>	[regrets for next 2 weeks]
